Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-16T20:05:07.243;172;1,1
2024-09-16T20:05:08.259;172;1,1
2024-09-16T20:05:09.252;172;1,1
2024-09-16T20:05:10.240;172;1,1
2024-09-16T20:05:11.202;172;0,9
2024-09-16T20:05:12.254;172;0,9
2024-09-16T20:05:13.295;172;0,9
2024-09-16T20:05:14.282;173;0,9
2024-09-16T20:05:15.275;173;0,9
2024-09-16T20:05:16.245;173;0,9
2024-09-16T20:05:17.286;173;0,7
2024-09-16T20:05:18.252;172;0,7
2024-09-16T20:05:19.240;172;0,7
2024-09-16T20:05:20.207;172;0,7
2024-09-16T20:05:21.239;172;0,6
2024-09-16T20:05:22.340;171;0,6
2024-09-16T20:05:23.241;172;0,6
2024-09-16T20:05:24.230;172;0,6
2024-09-16T20:05:25.245;171;0,6
2024-09-16T20:05:26.237;171;0,6
2024-09-16T20:05:27.247;171;0,5
2024-09-16T20:05:28.234;171;0,5
2024-09-16T20:05:29.211;171;0,5
2024-09-16T20:05:30.242;171;0,6
2024-09-16T20:05:31.231;171;0,7
2024-09-16T20:05:32.242;171;0,7
2024-09-16T20:05:33.228;171;0,7
2024-09-16T20:05:34.196;172;0,9
2024-09-16T20:05:35.229;172;1,0
2024-09-16T20:05:36.249;172;1,0
2024-09-16T20:05:37.282;172;1,1
2024-09-16T20:05:38.323;172;1,1
2024-09-16T20:05:39.241;172;1,1
2024-09-16T20:05:40.291;171;1,1
2024-09-16T20:05:41.239;172;1,1
2024-09-16T20:05:42.274;172;1,1
2024-09-16T20:05:43.200;172;1,3
2024-09-16T20:05:44.236;172;1,2
2024-09-16T20:05:45.291;172;1,1
2024-09-16T20:05:46.237;172;1,1
2024-09-16T20:05:47.271;172;1,0
2024-09-16T20:05:48.234;172;0,9
2024-09-16T20:05:49.237;172;0,9
2024-09-16T20:05:50.247;172;0,8
2024-09-16T20:05:51.233;173;0,8
2024-09-16T20:05:52.197;173;0,8
2024-09-16T20:05:53.233;173;0,4
2024-09-16T20:05:54.281;173;0,4
2024-09-16T20:05:55.242;173;0,5
2024-09-16T20:05:56.228;173;0,5
2024-09-16T20:05:57.261;173;0,5
2024-09-16T20:05:58.223;173;0,5
2024-09-16T20:05:59.241;173;0,6
2024-09-16T20:06:00.238;173;0,6
2024-09-16T20:06:01.225;173;0,7
2024-09-16T20:06:02.236;172;0,8
2024-09-16T20:06:03.229;173;0,8
2024-09-16T20:06:04.236;173;0,8
2024-09-16T20:06:05.205;173;0,8
2024-09-16T20:06:06.260;173;0,8
2024-09-16T20:06:07.222;173;0,8
2024-09-16T20:06:08.288;173;0,8
2024-09-16T20:06:09.210;172;0,8
2024-09-16T20:06:10.217;172;0,7
2024-09-16T20:06:11.235;172;0,6
2024-09-16T20:06:12.227;173;0,6
2024-09-16T20:06:13.241;173;0,5
2024-09-16T20:06:14.220;174;0,5
2024-09-16T20:06:15.236;174;0,6
2024-09-16T20:06:16.228;174;0,6
2024-09-16T20:06:17.272;174;0,6
2024-09-16T20:06:18.229;174;0,6
2024-09-16T20:06:19.217;175;0,6
2024-09-16T20:06:20.257;175;0,6
2024-09-16T20:06:21.219;175;0,6
2024-09-16T20:06:22.235;175;0,7
2024-09-16T20:06:23.225;175;0,9
2024-09-16T20:06:24.266;175;0,9
2024-09-16T20:06:25.230;175;0,9
2024-09-16T20:06:26.225;175;1,0
2024-09-16T20:06:27.282;175;1,0
2024-09-16T20:06:28.266;175;0,9
2024-09-16T20:06:29.230;175;1,0
2024-09-16T20:06:30.221;175;1,0
2024-09-16T20:06:31.266;175;1,0
2024-09-16T20:06:32.228;175;0,9
2024-09-16T20:06:33.269;174;0,8
